Name,release year,volume(mm^3),weight(g),screen size(in),total resolution,OSType,number of cores,core clock rate(gHz),ram,primary camera(MP),battery(mAh)
Acer beTouch E130,2010.0,82656.25,109.0,2.6,76800.0,2.0,1.0,0.416,0.512,3.0,1500.0,
Acer Stream,2010.0,84319.2,140.0,3.7,384000.0,2.0,1.0,1.0,0.512,5.0,1400.0,
Acer Liquid E,2010.0,89843.75,135.0,3.5,384000.0,2.0,1.0,0.768,0.512,5.0,1350.0,
Acer beTouch E400,2010.0,81834.0,125.0,3.2,153600.0,2.0,1.0,0.6,0.512,3.0,1090.0,
Asus Zenfone C ZC451CG,2015.0,99685.95,150.0,4.5,409920.0,2.0,2.0,1.2,1.0,5.0,2100.0,
Asus Zenfone Zoom ZX550,2015.0,150255.84,185.0,5.5,2073600.0,2.0,4.0,2.3,2.0,13.0,3000.0,
Asus Zenfone 2 ZE551ML,2015.0,128325.7,170.0,5.5,2073600.0,2.0,4.0,2.3,2.0,13.0,3000.0,
Asus Pegasus,2014.0,105514.2,140.0,5.0,921600.0,2.0,8.0,1.5,2.0,8.0,2500.0,
Asus PadFone X mini,2014.0,111229.521,148.8,4.5,409920.0,2.0,2.0,1.6,1.0,5.0,2060.0,
Asus Zenfone 5 A500KL,2014.0,111126.288,145.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2110.0,
Asus Zenfone 4 A450CG,2014.0,104962.53600000002,134.0,4.5,409920.0,2.0,2.0,1.2,1.0,8.0,1750.0,
Asus PadFone X,2014.0,103965.0,150.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,2300.0,
Asus PadFone S,2014.0,103965.0,150.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,2300.0,
Asus PadFone Infinity Lite,2014.0,92976.52,145.0,5.0,2073600.0,2.0,4.0,1.7,2.0,13.0,2400.0,
Asus Zenfone 6 A601CG,2014.0,139289.733,196.0,6.0,921600.0,2.0,2.0,1.6,1.0,13.0,3230.0,
Asus Zenfone 6,2014.0,139289.733,196.0,6.0,921600.0,2.0,2.0,2.0,1.0,13.0,3300.0,
Asus Zenfone 5,2014.0,59339.28,145.0,5.0,921600.0,2.0,2.0,2.0,1.0,8.0,2110.0,
Asus Zenfone 4,2014.0,48120.407999999996,115.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1200.0,
Asus PadFone mini (Intel),2014.0,48120.407999999996,116.0,4.0,384000.0,2.0,2.0,1.6,1.0,8.0,1170.0,
Asus PadFone mini,2013.0,73794.09599999999,105.0,4.3,518400.0,2.0,4.0,1.4,1.0,8.0,1500.0,
Asus PadFone Infinity 2,2013.0,92976.52,145.0,5.0,2073600.0,2.0,4.0,2.2,2.0,13.0,2400.0,
Asus Memo Pad 10,2013.0,469324.8,522.0,10.1,1024000.0,2.0,4.0,1.6,1.0,2.0,5070.0,
Asus Memo Pad 8 ME180A,2013.0,270597.60000000003,350.0,8.0,1024000.0,2.0,4.0,1.6,1.0,5.0,3950.0,
Asus Fonepad 7,2013.0,247968.0,328.0,7.0,1024000.0,2.0,2.0,1.6,1.0,5.0,3950.0,
Asus Google Nexus 7 (2013),2013.0,198359.99999999997,290.0,7.0,2304000.0,2.0,4.0,1.5,2.0,5.0,3950.0,
Asus Fonepad Note FHD6,2013.0,150732.67200000002,210.0,6.0,2073600.0,2.0,2.0,2.0,2.0,8.0,3200.0,
Asus Fonepad,2013.0,245311.456,340.0,7.0,1024000.0,2.0,1.0,1.2,1.0,3.0,4270.0,
Asus PadFone Infinity,2013.0,92976.52,141.0,5.0,2073600.0,2.0,4.0,1.7,2.0,13.0,2400.0,
Asus Memo Pad ME172V,2013.0,261934.848,370.0,7.0,614400.0,2.0,1.0,1.0,1.0,1.0,4270.0,
Asus Google Nexus 7 Cellular,2012.0,250110.0,347.0,7.0,1024000.0,2.0,4.0,1.2,1.0,1.0,4325.0,
Asus PadFone 2,2012.0,85511.79000000001,135.0,4.7,921600.0,2.0,4.0,1.5,2.0,13.0,2140.0,
Asus Google Nexus 7,2012.0,250110.0,340.0,7.0,1024000.0,2.0,4.0,1.2,1.0,1.0,4325.0,
Asus Memo,2012.0,279396.0,389.0,7.0,1024000.0,2.0,2.0,1.2,1.0,5.0,4400.0,
Asus PadFone,2012.0,77015.04,129.0,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,1520.0,
Alcatel Pixi 3 (8) 3G,2015.0,238427.19999999998,335.0,8.0,1024000.0,2.0,2.0,1.3,1.0,2.0,3240.0,
Alcatel Pixi 3 (7) LTE,2015.0,191534.8,260.0,7.0,614400.0,2.0,4.0,1.1,1.0,2.0,2820.0,
Alcatel Pixi 3 (7) 3G,2015.0,190908.9,260.0,7.0,614400.0,2.0,2.0,1.3,0.512,2.0,2820.0,
Alcatel Pixi 3 (7),2015.0,190908.9,260.0,7.0,614400.0,2.0,4.0,1.3,0.512,2.0,2820.0,
Alcatel POP 10,2015.0,283588.512,380.0,9.6,1024000.0,2.0,4.0,1.2,1.0,5.0,4600.0,
Alcatel Pop D3,2014.0,94755.584,114.0,4.0,384000.0,2.0,2.0,1.3,0.512,5.0,1400.0,
Alcatel Pop D1,2014.0,83476.8,101.0,3.5,153600.0,2.0,2.0,1.0,0.512,2.0,1300.0,
Alcatel Pop Icon,2014.0,100644.38999999998,149.0,5.0,518400.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Alcatel Pop 2 (5),2014.0,97790.54999999999,170.0,5.0,409920.0,2.0,4.0,1.2,1.0,5.0,2500.0,
Alcatel Pop 2 (4.5) Dual SIM,2014.0,85788.45,147.0,4.5,409920.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Alcatel Pop 2 (4.5),2014.0,86655.0,147.0,4.5,409920.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Alcatel POP 8S,2014.0,192614.4,327.0,8.0,1024000.0,2.0,4.0,1.2,1.0,5.0,4100.0,
Alcatel Hero 8,2014.0,186135.4,310.0,8.0,2304000.0,2.0,8.0,2.0,2.0,5.0,4060.0,
Alcatel Hero 2,2014.0,103464.72,175.0,6.0,2073600.0,2.0,8.0,2.0,2.0,13.0,3100.0,
Alcatel One Touch Pixi 2,2014.0,83700.0,100.0,3.5,153600.0,2.0,2.0,1.0,0.512,2.0,1300.0,
Alcatel Pop D5,2014.0,89967.5,150.0,4.5,409920.0,2.0,4.0,1.3,0.512,5.0,1800.0,
Alcatel Pop C2,2014.0,94281.6,116.0,4.0,384000.0,2.0,2.0,1.3,0.512,3.0,1300.0,
Alcatel POP 7S,2014.0,195264.0,279.0,7.0,614400.0,2.0,4.0,1.2,1.0,3.0,3240.0,
Alcatel Pop S9,2014.0,117876.41600000001,182.0,5.9,921600.0,2.0,4.0,1.2,1.0,8.0,3400.0,
Alcatel Pop S7,2014.0,95428.8,162.0,5.0,518400.0,2.0,4.0,1.3,1.0,5.0,3000.0,
Alcatel Pop S3,2014.0,78419.88,130.0,4.0,384000.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Alcatel Idol 2 S,2014.0,71355.37500000001,126.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2150.0,
Alcatel Idol 2,2014.0,69496.0,128.0,5.0,518400.0,2.0,4.0,1.3,1.0,8.0,2000.0,
Alcatel Idol 2 Mini S,2014.0,69897.625,116.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Alcatel Idol 2 Mini,2014.0,64712.850000000006,110.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,1700.0,
Alcatel Pop Fit,2014.0,65416.8,78.0,2.8,76800.0,2.0,2.0,1.0,0.512,2.0,1000.0,
Alcatel Idol X+,2014.0,76642.956,125.0,5.0,2073600.0,2.0,8.0,2.0,2.0,13.0,2500.0,
Alcatel Pop C9,2014.0,111173.75,189.0,5.5,518400.0,2.0,4.0,1.3,1.0,8.0,2500.0,
Alcatel POP 8,2014.0,203085.30000000002,325.0,8.0,1024000.0,2.0,4.0,1.3,1.0,2.0,4100.0,
Alcatel POP 7,2014.0,193094.4,285.0,7.0,614400.0,2.0,2.0,1.3,1.0,2.0,3240.0,
Alcatel One Touch Fierce,2013.0,78570.90000000001,130.0,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,1800.0,
Alcatel One Touch Evolve,2013.0,91756.8,136.5,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1400.0,
Alcatel Pop C7,2013.0,100225.62,162.0,5.0,409920.0,2.0,4.0,1.3,0.512,5.0,1900.0,
Alcatel Pop C5,2013.0,102681.77500000001,157.0,4.5,409920.0,2.0,2.0,1.3,0.512,5.0,1800.0,
Alcatel Pop C3,2013.0,94281.6,110.0,4.0,384000.0,2.0,2.0,1.3,0.512,5.0,1300.0,
Alcatel Idol Alpha,2013.0,68931.0,117.4,4.7,921600.0,2.0,4.0,1.2,1.0,13.0,2000.0,
Alcatel One Touch Evo 8HD,2013.0,304695.0,415.0,8.0,786432.0,2.0,2.0,1.6,1.0,3.0,4160.0,
Alcatel Hero,2013.0,108588.34999999999,177.6,6.0,2073600.0,2.0,4.0,1.5,2.0,13.0,3400.0,
Alcatel Idol S,2013.0,65991.72,110.0,4.7,921600.0,2.0,2.0,1.2,1.0,8.0,2000.0,
Alcatel Idol Mini,2013.0,62253.58,96.0,4.3,409920.0,2.0,2.0,1.3,0.512,5.0,1700.0,
Alcatel One Touch Pixi,2013.0,87406.9,118.0,3.5,153600.0,2.0,1.0,1.0,0.256,2.0,1300.0,
Alcatel Idol X,2013.0,65391.3,130.0,5.0,2073600.0,2.0,4.0,1.5,2.0,13.0,2000.0,
Alcatel One Touch Star,2013.0,69532.704,119.5,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1500.0,
Alcatel One Touch Scribe Easy,2013.0,109869.76000000001,163.0,5.0,384000.0,2.0,2.0,1.2,0.512,5.0,2500.0,
Alcatel One Touch Tab 7 HD,2013.0,217262.5,350.0,7.0,1024000.0,2.0,2.0,1.6,1.0,2.0,3300.0,
Alcatel One Touch Idol Ultra,2013.0,59841.6,115.0,4.65,921600.0,2.0,2.0,1.2,1.0,8.0,1800.0,
Alcatel One Touch T'Pop,2013.0,87406.9,118.0,3.5,153600.0,2.0,1.0,1.0,0.256,2.0,1400.0,
Alcatel One Touch S'Pop,2013.0,85863.59999999999,122.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1400.0,
Alcatel One Touch M'Pop,2013.0,91756.8,136.5,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1400.0,
Alcatel One Touch X'Pop,2013.0,97097.2,139.0,4.5,518400.0,2.0,2.0,1.0,0.512,5.0,1800.0,
Alcatel One Touch Scribe HD-LTE,2013.0,93959.99999999999,135.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2500.0,
Alcatel One Touch Scribe HD,2013.0,91800.0,135.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2500.0,
Alcatel OT-983,2012.0,87306.25,136.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1300.0,
Alcatel OT-997D,2012.0,97090.40000000002,143.0,4.3,384000.0,2.0,2.0,1.0,1.0,8.0,1800.0,
Alcatel OT-997,2012.0,97090.40000000002,143.0,4.3,384000.0,2.0,2.0,1.0,1.0,8.0,1800.0,
Alcatel OT-988 Shockwave,2012.0,108413.58,155.0,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1400.0,
Alcatel OT-985,2012.0,89609.99999999999,136.0,3.5,153600.0,2.0,1.0,0.65,0.256,3.0,1300.0,
Alcatel OT-995,2012.0,85299.20000000001,124.0,4.3,384000.0,2.0,1.0,1.4,0.512,5.0,1500.0,
Alcatel OT-918,2011.0,79414.72,123.0,3.2,153600.0,2.0,1.0,0.65,0.512,3.0,1300.0,
Alcatel OT-918D,2011.0,79414.72,123.0,3.2,153600.0,2.0,1.0,0.65,0.256,3.0,1300.0,
ZTE Blade G Lux,2015.0,79279.2,135.0,4.5,409920.0,2.0,2.0,1.3,0.512,5.0,1850.0,
ZTE Blade G,2015.0,78400.0,120.0,4.0,384000.0,2.0,2.0,1.0,0.512,2.0,1200.0,
ZTE V5 Lux,2015.0,88821.0,165.0,5.0,921600.0,2.0,4.0,1.2,1.0,13.0,2400.0,
ZTE Blade S6,2015.0,78392.16,134.0,5.0,921600.0,2.0,4.0,1.7,2.0,13.0,2400.0,
ZTE Grand X Max+,2015.0,106417.029,171.8,6.0,921600.0,2.0,4.0,1.2,2.0,13.0,3200.0,
ZTE Star 2,2014.0,66990.44400000002,130.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,2400.0,
ZTE Grand X Plus Z826,2014.0,102585.024,150.0,5.0,921600.0,2.0,4.0,1.2,2.0,8.0,2300.0,
ZTE Speed,2014.0,90612.72,136.1,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,2000.0,
ZTE Grand S II,2014.0,95503.1,120.0,5.5,2073600.0,2.0,4.0,2.2,2.0,13.0,2500.0,
ZTE Grand Xmax,2014.0,106417.029,171.8,6.0,921600.0,2.0,4.0,1.2,1.0,8.0,3200.0,
ZTE Zmax,2014.0,121270.332,189.9,5.7,921600.0,2.0,4.0,1.2,2.0,8.0,3400.0,
ZTE Kis 3 Max,2014.0,79279.2,135.0,4.5,409920.0,2.0,2.0,1.3,0.512,5.0,1850.0,
ZTE Nubia Z5S mini NX405H,2014.0,76337.212,117.9,4.7,921600.0,2.0,4.0,1.2,2.0,13.0,2000.0,
ZTE Nubia Z7 Max,2014.0,100965.23999999998,160.0,5.5,2073600.0,2.0,4.0,2.5,2.0,13.0,3100.0,
ZTE Blade L2,2014.0,92596.5,166.0,5.0,409920.0,2.0,4.0,1.3,1.0,8.0,2000.0,
ZTE Blade G2,2013.0,86902.2,145.0,4.5,409920.0,2.0,4.0,1.2,0.512,5.0,2000.0,
ZTE Star 1,2014.0,63300.6,130.0,5.0,2073600.0,2.0,4.0,1.6,2.0,8.0,2300.0,
ZTE Redbull V5 V9180,2014.0,87834.1,165.0,5.0,921600.0,2.0,4.0,1.2,1.0,13.0,2400.0,
ZTE Nubia X6,2014.0,126206.45000000001,215.0,6.44,2073600.0,2.0,4.0,2.3,2.0,13.0,4250.0,
ZTE Grand S II S291,2014.0,110009.9,150.0,5.5,2073600.0,2.0,4.0,2.3,2.0,13.0,3100.0,
ZTE Nubia Z5S,2013.0,72000.57599999999,126.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,2300.0,
ZTE Nubia Z5S mini NX403A,2013.0,67410.784,120.0,4.7,921600.0,2.0,4.0,1.7,2.0,13.0,2000.0,
ZTE Grand S Flex,2013.0,89089.0,130.0,5.0,921600.0,2.0,2.0,1.2,1.0,8.0,2300.0,
ZTE Blade Q Maxi,2013.0,93693.59999999999,130.0,5.0,409920.0,2.0,2.0,1.3,1.0,5.0,2000.0,
ZTE Warp 4G,2013.0,90673.44,127.6,4.5,921600.0,2.0,2.0,1.2,1.0,8.0,2070.0,
ZTE Blade G V880G,2013.0,81981.2,140.0,4.5,409920.0,2.0,2.0,1.2,0.512,5.0,2000.0,
ZTE Reef,2013.0,92171.52,127.6,4.0,384000.0,2.0,1.0,1.0,1.0,5.0,1650.0,
ZTE Vital N9810,2013.0,101388.00000000001,154.0,5.0,921600.0,2.0,2.0,1.5,1.0,13.0,2500.0,
ZTE Grand X Pro,2013.0,80270.736,146.0,4.5,921600.0,2.0,2.0,1.2,1.0,8.0,2000.0,
ZTE Grand X Quad V987,2013.0,87843.0,163.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2500.0,
ZTE Geek V975,2013.0,96425.0,148.0,5.0,921600.0,2.0,2.0,2.0,2.0,8.0,2300.0,
ZTE Grand Memo V9815,2013.0,112265.79,189.0,5.7,921600.0,2.0,4.0,1.7,2.0,13.0,3200.0,
ZTE Director,2013.0,90051.25,140.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1500.0,
ZTE Grand S,2013.0,68586.0,110.0,5.0,2073600.0,2.0,4.0,1.7,2.0,13.0,1780.0,
ZTE Avid 4G,2012.0,96651.8,148.8,4.0,384000.0,2.0,2.0,1.2,0.512,5.0,1730.0,
ZTE V887,2012.0,118903.20000000001,140.0,5.0,384000.0,2.0,2.0,1.0,0.512,5.0,2000.0,
ZTE Nubia Z5,2012.0,72419.564,126.0,5.0,2073600.0,2.0,4.0,1.5,2.0,13.0,2300.0,
ZTE Flash,2012.0,85333.13100000001,142.0,4.5,921600.0,2.0,2.0,1.5,1.0,12.0,1780.0,
ZTE Anthem 4G,2012.0,121379.39699999998,189.9,4.3,384000.0,2.0,2.0,1.2,0.512,5.0,1780.0,
ZTE Warp Sequent,2012.0,81473.04000000001,129.8,4.3,518400.0,2.0,1.0,1.4,0.768,5.0,1650.0,
ZTE Grand Era U895,2012.0,75490.8,110.0,4.5,921600.0,2.0,4.0,1.5,1.0,8.0,1800.0,
ZTE Blade III,2012.0,78105.0,130.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1600.0,
ZTE Grand X IN,2012.0,81724.5,140.8,4.3,518400.0,2.0,1.0,1.6,1.0,8.0,1650.0,
ZTE N880E,2012.0,75493.6,130.0,4.0,384000.0,2.0,1.0,1.0,0.512,3.0,1650.0,
ZTE Grand X LTE T82,2012.0,95295.2,151.0,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,1900.0,
ZTE Grand X V970,2012.0,81981.90000000001,110.0,4.3,518400.0,2.0,1.0,1.0,1.0,5.0,1600.0,
ZTE Light Tab 3 V9S,2012.0,279360.0,400.0,7.0,1024000.0,2.0,2.0,1.2,1.0,5.0,4000.0,
ZTE Kis V788,2012.0,80970.12,120.0,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1400.0,
ZTE V880E,2012.0,94961.99999999999,130.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1650.0,
ZTE Blade II V880+,2012.0,72640.761,117.4,3.5,384000.0,2.0,1.0,1.0,0.512,5.0,1200.0,
ZTE Optik,2012.0,304183.44,400.0,7.0,1024000.0,2.0,2.0,1.2,1.0,5.0,4000.0,
ZTE Light Tab 2 V9A,2011.0,310514.39999999997,389.0,7.0,614400.0,2.0,1.0,1.4,0.512,3.0,3400.0,
ZTE Light Tab V9C,2011.0,310514.39999999997,389.0,7.0,384000.0,2.0,1.0,0.8,0.512,2.0,3400.0,
ZTE FTV Phone,2011.0,77337.20000000001,110.0,3.5,384000.0,2.0,1.0,0.6,0.512,3.0,1250.0,
ZTE Racer II,2011.0,77781.59999999999,100.0,2.8,76800.0,2.0,1.0,0.5,0.512,3.0,1100.0,
ZTE Blade,2010.0,77337.20000000001,110.0,3.5,384000.0,2.0,1.0,0.6,0.512,3.0,1250.0,
ZTE Racer,2010.0,81345.0,100.0,2.8,76800.0,2.0,1.0,0.6,0.256,3.0,1100.0,
